epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,617.411,1.63276,1.13762,0.00199,0.35661,0.42461,0.29792,0.07826,2.71388,2.13754,0.00376,8.92183e-05,8.92183e-05,8.92183e-05
92,625.89,1.65396,1.14878,0.00199,0.3604,0.41519,0.26636,0.06354,2.84724,2.24237,0.00397,8.89877e-05,8.89877e-05,8.89877e-05
93,632.46,1.75689,1.20211,0.00192,0.37868,0.40403,0.28454,0.0755,2.74217,2.12991,0.00375,8.8755e-05,8.8755e-05,8.8755e-05
94,638.91,1.68297,1.22385,0.00212,0.33742,0.41007,0.26329,0.05727,2.94222,2.17566,0.00413,8.85202e-05,8.85202e-05,8.85202e-05
95,645.366,1.6724,1.14838,0.00201,0.44914,0.40735,0.351,0.09416,2.7163,1.97432,0.0037,8.82834e-05,8.82834e-05,8.82834e-05
96,651.862,1.64329,1.16946,0.00195,0.42228,0.43484,0.3382,0.092,2.67177,2.05871,0.00365,8.80445e-05,8.80445e-05,8.80445e-05
97,659.568,1.64596,1.11976,0.00193,0.46587,0.4633,0.40312,0.11914,2.56238,1.99243,0.00345,8.78036e-05,8.78036e-05,8.78036e-05
98,668.44,1.66235,1.08514,0.0019,0.45807,0.44906,0.36648,0.09848,2.65247,2.06879,0.00357,8.75606e-05,8.75606e-05,8.75606e-05
99,674.961,1.65303,1.08631,0.00198,0.44342,0.43119,0.33015,0.0891,2.6637,2.11878,0.00359,8.73157e-05,8.73157e-05,8.73157e-05
100,681.43,1.70594,1.15382,0.00202,0.42822,0.4216,0.37803,0.10516,2.68719,2.08429,0.00365,8.70687e-05,8.70687e-05,8.70687e-05
101,688.927,1.70036,1.10351,0.00204,0.43988,0.40764,0.3719,0.10692,2.66674,2.13791,0.00367,8.68198e-05,8.68198e-05,8.68198e-05
102,695.394,1.67436,1.13818,0.00195,0.39631,0.46383,0.34313,0.09597,2.58636,2.18107,0.00349,8.65689e-05,8.65689e-05,8.65689e-05
103,701.84,1.64897,1.10708,0.00206,0.38713,0.42925,0.31809,0.08307,2.70008,2.15831,0.00369,8.63161e-05,8.63161e-05,8.63161e-05
104,708.419,1.6924,1.12288,0.00194,0.39151,0.46326,0.36656,0.10721,2.56517,2.10026,0.00342,8.60613e-05,8.60613e-05,8.60613e-05
105,714.857,1.70248,1.15945,0.00199,0.51662,0.34687,0.40584,0.11809,2.60447,2.14625,0.00352,8.58046e-05,8.58046e-05,8.58046e-05
106,721.841,1.62914,1.03329,0.00198,0.46517,0.40311,0.3764,0.10266,2.68301,2.13221,0.0037,8.5546e-05,8.5546e-05,8.5546e-05
107,728.408,1.71128,1.12686,0.00191,0.35865,0.45705,0.3312,0.08818,2.71146,2.16455,0.00375,8.52856e-05,8.52856e-05,8.52856e-05
108,736.854,1.64628,1.06556,0.0019,0.31733,0.4635,0.30146,0.08238,2.63525,2.23977,0.00361,8.50232e-05,8.50232e-05,8.50232e-05
109,743.341,1.59605,1.04648,0.00183,0.43014,0.32433,0.33228,0.09113,2.68452,2.17856,0.00372,8.4759e-05,8.4759e-05,8.4759e-05
110,749.884,1.64191,1.07287,0.00189,0.52574,0.38441,0.39798,0.11402,2.6496,2.0417,0.00365,8.4493e-05,8.4493e-05,8.4493e-05
111,756.308,1.65929,1.0632,0.00186,0.52341,0.34282,0.36284,0.09667,2.72042,2.21971,0.0038,8.42252e-05,8.42252e-05,8.42252e-05
112,762.843,1.67505,1.11452,0.0019,0.47644,0.35636,0.37348,0.10533,2.64257,2.23312,0.00361,8.39555e-05,8.39555e-05,8.39555e-05
113,769.304,1.62421,1.08737,0.0019,0.48705,0.46477,0.41982,0.12531,2.54534,2.10976,0.00343,8.36841e-05,8.36841e-05,8.36841e-05
114,775.861,1.72541,1.13885,0.00208,0.52629,0.45076,0.43335,0.13061,2.53463,2.09007,0.0034,8.34109e-05,8.34109e-05,8.34109e-05
115,782.627,1.62375,1.02441,0.00187,0.5682,0.37607,0.41986,0.12341,2.57747,2.171,0.00345,8.31359e-05,8.31359e-05,8.31359e-05
116,789.053,1.64778,1.06203,0.00212,0.50608,0.40083,0.39747,0.11523,2.64014,2.0629,0.00357,8.28592e-05,8.28592e-05,8.28592e-05
117,795.466,1.62727,1.05843,0.00182,0.47731,0.40498,0.36899,0.10334,2.64821,2.20119,0.0036,8.25808e-05,8.25808e-05,8.25808e-05
118,802.048,1.68112,1.1193,0.00192,0.45519,0.4118,0.40098,0.12202,2.59951,2.09242,0.00349,8.23007e-05,8.23007e-05,8.23007e-05
119,808.517,1.64171,1.06751,0.00182,0.51834,0.38952,0.39954,0.11355,2.63729,2.13878,0.00358,8.20189e-05,8.20189e-05,8.20189e-05
120,815.034,1.63265,1.04534,0.00187,0.54444,0.34596,0.37819,0.10641,2.64108,2.20496,0.00362,8.17354e-05,8.17354e-05,8.17354e-05
121,821.61,1.6039,1.0108,0.00194,0.49463,0.31995,0.34332,0.0931,2.68662,2.3117,0.00371,8.14503e-05,8.14503e-05,8.14503e-05
122,828.065,1.63585,1.11885,0.00192,0.42531,0.40193,0.36252,0.10646,2.60157,2.24653,0.00352,8.11636e-05,8.11636e-05,8.11636e-05
123,834.62,1.6318,1.06959,0.00185,0.4884,0.29488,0.35485,0.0987,2.70139,2.26133,0.0037,8.08752e-05,8.08752e-05,8.08752e-05
124,841.082,1.65319,1.06694,0.00189,0.48818,0.31592,0.34729,0.09961,2.67539,2.21164,0.00365,8.05853e-05,8.05853e-05,8.05853e-05
125,847.561,1.66018,1.02766,0.00186,0.43844,0.37778,0.30417,0.08123,2.73421,2.26394,0.00377,8.02938e-05,8.02938e-05,8.02938e-05
126,854.108,1.64732,1.05667,0.00191,0.44757,0.39158,0.35829,0.11051,2.5496,2.19423,0.00338,8.00007e-05,8.00007e-05,8.00007e-05
127,860.609,1.65339,1.10357,0.00185,0.46217,0.36254,0.32204,0.08941,2.66619,2.23387,0.00364,7.9706e-05,7.9706e-05,7.9706e-05
128,868.049,1.63025,0.99149,0.0018,0.38501,0.43649,0.30924,0.08535,2.60915,2.30446,0.00343,7.94099e-05,7.94099e-05,7.94099e-05
129,874.568,1.6753,1.04082,0.00188,0.41457,0.3958,0.31508,0.08196,2.74637,2.27053,0.00377,7.91122e-05,7.91122e-05,7.91122e-05
130,881.021,1.60278,1.04079,0.00178,0.35329,0.44557,0.32087,0.07717,2.76111,2.22396,0.0039,7.88131e-05,7.88131e-05,7.88131e-05
131,887.467,1.64439,1.01478,0.00183,0.38785,0.45324,0.33939,0.09894,2.52939,2.23985,0.00339,7.85124e-05,7.85124e-05,7.85124e-05
132,893.831,1.62368,1.03574,0.00196,0.46453,0.42442,0.36722,0.1087,2.53699,2.14284,0.00345,7.82104e-05,7.82104e-05,7.82104e-05
133,901.51,1.61844,0.99495,0.00185,0.46807,0.43213,0.37562,0.10705,2.61283,2.13716,0.00356,7.79069e-05,7.79069e-05,7.79069e-05
134,907.997,1.62378,1.02089,0.00191,0.49653,0.45387,0.42323,0.13616,2.42515,2.11187,0.00321,7.76019e-05,7.76019e-05,7.76019e-05
135,914.658,1.68265,1.08604,0.00198,0.439,0.44058,0.38275,0.11236,2.53378,2.22103,0.00342,7.72956e-05,7.72956e-05,7.72956e-05
136,921.103,1.63776,1.01977,0.00184,0.42416,0.39123,0.34051,0.08757,2.74419,2.33333,0.00378,7.6988e-05,7.6988e-05,7.6988e-05
137,927.582,1.55578,0.95797,0.00183,0.46927,0.39203,0.36263,0.10583,2.60755,2.34472,0.00347,7.66789e-05,7.66789e-05,7.66789e-05
138,934.026,1.61062,0.9749,0.00197,0.44181,0.35221,0.35091,0.09687,2.74842,2.42914,0.00378,7.63685e-05,7.63685e-05,7.63685e-05
139,940.413,1.61811,1.01137,0.00196,0.42625,0.37304,0.31805,0.08261,2.71416,2.45924,0.00374,7.60568e-05,7.60568e-05,7.60568e-05
140,946.931,1.6123,0.97011,0.00179,0.46332,0.3941,0.37391,0.10734,2.56945,2.33569,0.00345,7.57438e-05,7.57438e-05,7.57438e-05
